,movieId,directors,actors
0,1,John Lasseter,Tom Hanks|Tim Allen|Don Rickles
1,2,Joe Johnston,Robin Williams|Kirsten Dunst|Bonnie Hunt
2,3,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret
3,5,Charles Shyer,Steve Martin|Diane Keaton|Martin Short
4,6,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
5,7,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear
6,9,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry
7,10,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco
8,11,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen
9,13,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda
10,15,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella
11,16,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci
12,17,Ang Lee,Emma Thompson|Kate Winslet|James Fleet
13,18,Allison Anders|Alexandre Rockwell|Robert Rodriguez,Tim Roth|Antonio Banderas|Sammi Davis
14,19,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow
15,20,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez
16,21,Barry Sonnenfeld,Gene Hackman|Rene Russo|Danny DeVito
17,22,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney
18,23,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore
19,24,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen
20,25,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands
21,26,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob
22,27,Lesli Linka Glatter,Christina Ricci|Demi Moore|Rosie O&apos;Donnell
23,28,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood
24,29,Marc Caro|Jean-Pierre Jeunet,Ron Perlman|Daniel Emilfork|Judith Vittet
25,30,Yimou Zhang,Gong Li|Baotian Li|Xiaoxiao Wang
26,31,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance
27,32,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt
28,34,Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh
29,36,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky
30,38,Andy Tennant,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen
31,39,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy
32,40,Darrell Roodt,Richard Harris|James Earl Jones|Vusi Kunene
33,42,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker
34,43,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis
35,44,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby
36,45,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix
37,46,Jocelyn Moorhouse,Winona Ryder|Ellen Burstyn|Anne Bancroft
38,47,David Fincher,Morgan Freeman|Brad Pitt|Kevin Spacey
39,48,Mike Gabriel|Eric Goldberg,Mel Gibson|Linda Hunt|Christian Bale
40,49,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny
41,50,Bryan Singer,Kevin Spacey|Gabriel Byrne|Chazz Palminteri
42,52,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair
43,53,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani
44,54,Holly Goldberg Sloan,Steve Guttenberg|Olivia d&apos;Abo|Jay O. Sanders
45,57,Jodie Foster,Holly Hunter|Anne Bancroft|Robert Downey Jr.
46,58,Michael Radford|Massimo Troisi,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta
47,60,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse
48,61,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris
49,63,Paris Barclay,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans
50,64,Bill Bennett,Sandra Bullock|Denis Leary|Stephen Dillane
51,65,Jason Bloom,Pauly Shore|Stephen Baldwin|William Atherton
52,66,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O&apos;Brien
53,68,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat
54,70,Robert Rodriguez,Harvey Keitel|George Clooney|Juliette Lewis
55,71,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff
56,72,Noah Baumbach,Josh Hamilton|Eric Stoltz|Samuel Gould
57,73,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines
58,74,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon
59,75,Steve Miner,Rick Moranis|Tom Arnold|Julianne Phillips
60,76,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin
61,77,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen
62,78,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston
63,79,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt
64,80,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
65,81,Gary Fleder,Andy Garcia|Christopher Walken|Christopher Lloyd
66,82,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop
67,83,Tim Reid,Al Freeman Jr.|Phylicia Rashad|Leon
68,85,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
69,86,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage
70,87,Ken Kwapis,Jason Alexander|Faye Dunaway|Eric Lloyd
71,92,Stephen Frears,Julia Roberts|John Malkovich|George Cole
72,94,Ted Demme,Matt Dillon|Timothy Hutton|Noah Emmerich
73,95,John Woo,John Travolta|Christian Slater|Samantha Mathis
74,96,Kenneth Branagh,Michael Maloney|Richard Briers|Hetta Charnley
75,97,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui
76,99,Nick Broomfield,Nick Broomfield|Nina Xining Zuo|Madam Alex
77,100,Harold Becker,Al Pacino|John Cusack|Bridget Fonda
78,101,Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd
79,103,John Dahl,Ray Liotta|Linda Fiorentino|Peter Coyote
80,104,Dennis Dugan,Adam Sandler|Christopher McDonald|Julie Bowen
81,105,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley
82,107,Brian Henson,Tim Curry|Billy Connolly|Jennifer Saunders
83,108,Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani
84,110,Mel Gibson,Mel Gibson|Sophie Marceau|Patrick McGoohan
85,111,Martin Scorsese,Robert De Niro|Jodie Foster|Cybill Shepherd
86,112,Stanley Tong,Jackie Chan|Anita Mui|Françoise Yip
87,113,Barbet Schroeder,Meryl Streep|Liam Neeson|Edward Furlong
88,117,Benjamin Ross,Hugh O&apos;Conor|Antony Sher|Tobias Arnold
89,121,John N. Smith,Henry Czerny|Johnny Morina|Brian Dooley
90,122,Reginald Hudlin,Eddie Murphy|Robin Givens|Halle Berry
91,123,Kar-Wai Wong,Brigitte Lin|Takeshi Kaneshiro|Tony Leung Chiu-wai
92,126,Peter MacDonald,Jason James Richter|Melody Kay|Jack Black
93,128,Michel Negroponte,Maggie Cogan|Katina Commings
94,129,Bryan Gordon,Josh Charles|Anne Heche|John Goodman
95,132,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri
96,135,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider
97,137,Dirk Shafer,Vivian Paxton|Claudette Sutherland|Michael Ornstein
98,140,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing
99,141,Mike Nichols,Robin Williams|Nathan Lane|Gene Hackman
100,144,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns
101,146,Christopher Cain,Stephen Lang|Ryan Slater|Yi Ding
102,147,Scott Kalvert,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol
103,150,Ron Howard,Tom Hanks|Bill Paxton|Kevin Bacon
104,151,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt
105,152,Abel Ferrara,Lili Taylor|Christopher Walken|Annabella Sciorra
106,153,Joel Schumacher,Val Kilmer|Tommy Lee Jones|Jim Carrey
107,154,Luis Buñuel,Catherine Deneuve|Jean Sorel|Michel Piccoli
108,156,Paul Auster|Wayne Wang|Harvey Wang,Harvey Keitel|Lou Reed|Michael J. Fox
109,158,Brad Silberling,Bill Pullman|Christina Ricci|Cathy Moriarty
110,159,Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo
111,161,Tony Scott,Gene Hackman|Denzel Washington|Matt Craven
112,162,Terry Zwigoff,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb
113,163,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida
114,164,Carl Franklin,Denzel Washington|Tom Sizemore|Jennifer Beals
115,165,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson
116,169,Dwight H. Little,Jason James Richter|Michael Madsen|Francis Capra
117,170,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford
118,171,Christopher Ashley,Steven Weber|Michael T. Weiss|Peter Jacobson
119,173,Danny Cannon,Sylvester Stallone|Armand Assante|Rob Schneider
120,174,John Fortenberry,Pauly Shore|Tia Carrere|Stanley Tucci
121,175,Larry Clark,Leo Fitzpatrick|Justin Pierce|Chloë Sevigny
122,176,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney
123,177,Clive Barker,Scott Bakula|Kevin J. O&apos;Connor|J. Trevor Edmond
124,178,Denys Arcand,Thomas Gibson|Ruth Marshall|Cameron Bancroft
125,179,Antonia Bird,Chris O&apos;Donnell|Drew Barrymore|Matthew Lillard
126,180,Kevin Smith,Shannen Doherty|Jeremy London|Jason Lee
127,181,Bryan Spicer,Karan Ashley|Johnny Yong Bosch|Steve Cardenas
128,183,Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards
129,185,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller
130,186,Chris Columbus,Hugh Grant|Julianne Moore|Tom Arnold
131,187,Daisy von Scherler Mayer,Parker Posey|Omar Townsend|The Lady Bunny
132,188,Gregory Widen,Christopher Walken|Elias Koteas|Virginia Madsen
133,189,Norman René,Mia Farrow|Tony Goldwyn|Juana Barrios
134,190,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris
135,194,Wayne Wang,Harvey Keitel|William Hurt|Giancarlo Esposito
136,195,Lasse Hallström,Julia Roberts|Dennis Quaid|Robert Duvall
137,196,Roger Donaldson,Natasha Henstridge|Michael Madsen|Ben Kingsley
138,198,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Juliette Lewis
139,199,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon
140,202,Agnieszka Holland,Leonardo DiCaprio|David Thewlis|Romane Bohringer
141,203,Beeban Kidron,Wesley Snipes|Patrick Swayze|John Leguizamo
142,204,Geoff Murphy,Steven Seagal|Eric Bogosian|Everett McGill
143,206,Douglas Keeve,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard
144,207,Alfonso Arau,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn
145,208,Kevin Reynolds,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper
146,209,Desmond Nakano,John Travolta|Harry Belafonte|Kelly Lynch
147,210,Walter Hill,Jeff Bridges|Ellen Barkin|John Hurt
148,211,Mike Figgis,Albert Finney|Greta Scacchi|Matthew Modine
149,212,Greg Beeman,Daniel Stern|Jon Polito|Brad Sullivan
150,213,Nikita Mikhalkov,Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov
151,214,Milcho Manchevski,Katrin Cartlidge|Rade Serbedzija|Grégoire Colin
152,215,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert
153,217,Guy Ferland,Alicia Silverstone|Jeremy London|J.T. Walsh
154,218,Herbert Ross,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore
155,219,Peter Horton,Joseph Mazzello|Brad Renfro|Aeryk Egan
156,220,Stuart Gordon,Jeffrey Combs|Barbara Crampton|Jonathan Fuller
157,222,Pat O&apos;Connor,Chris O&apos;Donnell|Minnie Driver|Geraldine O&apos;Rawe
158,223,Kevin Smith,Brian O&apos;Halloran|Jeff Anderson|Marilyn Ghigliotti
159,224,Jeremy Leven,Johnny Depp|Marlon Brando|Faye Dunaway
160,225,Barry Levinson,Michael Douglas|Demi Moore|Donald Sutherland
161,229,Roman Polanski,Sigourney Weaver|Ben Kingsley|Stuart Wilson
162,230,Taylor Hackford,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer
163,231,Peter Farrelly|Bobby Farrelly,Jim Carrey|Jeff Daniels|Lauren Holly
164,232,Ang Lee,Sihung Lung|Kuei-Mei Yang|Wang Yu-wen
165,233,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar
166,234,Garry Marshall,Dana Delany|Dan Aykroyd|Rosie O&apos;Donnell
167,235,Tim Burton,Johnny Depp|Martin Landau|Sarah Jessica Parker
168,236,Lawrence Kasdan,Meg Ryan|Kevin Kline|Timothy Hutton
169,237,Billy Crystal,Billy Crystal|Debra Winger|Joe Mantegna
170,238,Phillip Borsos,Jesse Bradford|Mimi Rogers|Bruce Davison
171,239,Kevin Lima,Bill Farmer|Jason Marsden|Jim Cummings
172,240,Brett Leonard,Jeff Goldblum|Christine Lahti|Alicia Silverstone
173,242,Gérard Corbiau,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein
174,246,Steve James,William Gates|Arthur Agee|Emma Gates
175,247,Peter Jackson,Melanie Lynskey|Kate Winslet|Sarah Peirse
176,248,Randall Miller,Sinbad|Phil Hartman|Kim Greist
177,249,Bernard Rose,Gary Oldman|Jeroen Krabbé|Isabella Rossellini
178,250,Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller
179,251,J.F. Lawton,Christopher Lambert|John Lone|Joan Chen
180,252,Fred Schepisi,Tim Robbins|Meg Ryan|Walter Matthau
181,253,Neil Jordan,Brad Pitt|Tom Cruise|Antonio Banderas
182,254,James Ivory,Nick Nolte|Greta Scacchi|Gwyneth Paltrow
183,257,Arne Glimcher,Sean Connery|Laurence Fishburne|Kate Capshaw
184,258,Michael Gottlieb,Thomas Ian Nicholas|Joss Ackland|Art Malik
185,260,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher
186,261,Gillian Armstrong,Susan Sarandon|Winona Ryder|Kirsten Dunst
187,262,Alfonso Cuarón,Liesel Matthews|Eleanor Bron|Liam Cunningham
188,265,Alfonso Arau,Marco Leonardi|Lumi Cavazos|Regina Torné
189,266,Edward Zwick,Brad Pitt|Anthony Hopkins|Aidan Quinn
190,269,Allison Anders,Angel Aviles|Seidy Lopez|Jacob Vargas
191,271,Stephen Gyllenhaal,Jessica Lange|Halle Berry|David Strathairn
192,273,Kenneth Branagh,Robert De Niro|Kenneth Branagh|Helena Bonham Carter
193,274,James Orr,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas
194,275,Nora Ephron,Steve Martin|Madeline Kahn|Robert Klein
195,276,Richard Benjamin,Melanie Griffith|Ed Harris|Michael Patrick Carter
196,277,Les Mayfield,Richard Attenborough|Elizabeth Perkins|Dylan McDermott
197,280,Marc Rocco,Christian Slater|Kevin Bacon|Gary Oldman
198,282,Michael Apted,Jodie Foster|Liam Neeson|Natasha Richardson
199,283,Nick Gomez,Shar-Ron Corley|Gabriel Casseus|Saul Stein
200,285,Vadim Jean,Craig Fairbrass|Elizabeth Hurley|Keith Allen
201,287,Alan Jacobs,Laura San Giacomo|Paul Rhys|Michael O&apos;Keefe
202,288,Oliver Stone,Woody Harrelson|Juliette Lewis|O-Lan Jones
203,289,Norman Jewison,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt
204,290,Lee Tamahori,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell
205,291,Anne Goursaud,Alyssa Milano|Johnathon Schaech|Xander Berkeley
206,292,Wolfgang Petersen,Dustin Hoffman|Rene Russo|Morgan Freeman
207,293,Luc Besson,Jean Reno|Gary Oldman|Natalie Portman
208,295,Joshua Brand,William Baldwin|John Leguizamo|Sadie Frost
209,298,Ang Lee,Sihung Lung|Lai Wang|Bozhao Wang
210,300,Robert Redford,Ralph Fiennes|John Turturro|Rob Morrow
211,301,Kayo Hatta,Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa
212,302,Patrice Chéreau,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade
213,303,Sam Raimi,Sharon Stone|Gene Hackman|Russell Crowe
214,305,Robert Altman,Sophia Loren|Julia Roberts|Marcello Mastroianni
215,307,Krzysztof Kieslowski,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy
216,310,Fred Gerber,Leslie Nielsen|Christopher Lloyd|Matt McCoy
217,311,George Mihalka,Darlanne Fluegel|Martin Neufeld|James Brolin
218,312,Harold Ramis,Al Franken|Laura San Giacomo|Vincent D&apos;Onofrio
219,313,Richard Rich,Jack Palance|Howard McGillin|Michelle Nicastro
220,315,Luis Llosa,Sylvester Stallone|Sharon Stone|James Woods
221,316,Roland Emmerich,Kurt Russell|James Spader|Jaye Davidson
222,317,John Pasquin,Tim Allen|Judge Reinhold|Wendy Crewson
223,318,Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton
224,320,Scott McGehee|David Siegel,Dennis Haysbert|Mel Harris|Sab Shimono
225,321,Tomás Gutiérrez Alea|Juan Carlos Tabío,Jorge Perugorría|Vladimir Cruz|Mirta Ibarra
226,322,George Huang,Kevin Spacey|Frank Whaley|Michelle Forbes
